"Report Generated, 9th July 2025 - 19:40",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS P&L REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajs Limited, Bellam & Co Limited, Dhillon Brothers Limited, Fans (UK) Limited, MDJ Investments Limited, Nij Enterprises Ltd, Popat Leisure Limited, R & D 2 Pizza Limited, R&D Yorkshire Limited, Radas Pizza Ltd, Topbake Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,
British Pound,Eliminated accounts removed,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Code,Account Name,May 24,,Jun 24,,Jul 24,,Aug 24,,Sep 24,,Oct 24,,Nov 24,,Dec 24,,Jan 25,,Feb 25,,Mar 25,,Apr 25,,May 25,
,,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,JUST EATS DELIVERY,"£ 8,750.55","£ 10,386.20","£ 7,143.43","£ 7,756.28","£ 11,293.18","£ 7,988.33","£ 9,320.68","£ 7,673.48","£ 8,440.17","£ 9,107.31","£ 10,914.50","£ 11,483.95","£ 14,441.62","£ 11,286.88","£ 17,078.92","£ 13,107.50","£ 22,400.10","£ 11,029.36","£ 21,727.71","£ 11,785.07","£ 26,683.61","£ 13,727.54","£ 25,314.36","£ 18,470.62","£ 17,174.94","£ 8,750.55"
5111,Direct Labour,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 50,000.00",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
5112,Cost of Sales -Other,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 61,588.63",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
5200,Opening Stock,"£ 175,546.77",£ 0.00,"£ 162,554.51",£ 0.00,"£ 173,511.75",£ 0.00,"£ 133,823.22",£ 0.00,"£ 261,999.91",£ 0.00,"£ 134,196.01",£ 0.00,"£ 260,693.48","£ 9,153.00",£ 0.00,"£ 101,829.00",£ 0.00,"£ 222,529.70",£ 0.00,"£ 159,464.04",£ 0.00,"£ 208,536.74",£ 0.00,"£ 159,834.44",£ 0.00,"£ 175,546.77"
5201,Closing Stock,"£ -162,554.51",£ 0.00,"£ -151,379.31",£ 0.00,"£ -183,341.20",£ 0.00,"£ -140,985.34",£ 0.00,"£ -193,406.01","£ 1,275.00","£ -194,387.26","£ -10,390.00","£ -235,323.43","£ -10,888.00",£ 0.00,"£ -113,674.00",£ 0.00,"£ -159,464.04",£ 0.00,"£ -208,536.74",£ 0.00,"£ -159,834.44",£ 0.00,"£ -175,546.77",£ 0.00,"£ -162,554.51"
5204,Direct labour,£ 0.00,£ 0.00,"£ 50,903.26",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
6000,Domino's Management Service Charges,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
6201,Advertising,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
7002,Holiday pay/ Statutary Pay/ Bonus,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 85,837.48",£ 0.00,"£ 78,099.21",£ 0.00,"£ 91,887.74",£ 0.00,"£ 81,538.43",£ 0.00,"£ 156,613.66",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
7003,Employer NICs/ Pension- Recharge,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 1,233.73",£ 0.00,"£ 1,365.80",£ 0.00,"£ 1,075.14",£ 0.00,£ 983.26,£ 0.00,£ 0.00,£ 0.00,£ 5.74,£ 0.00,£ 30.01,£ 0.00
7004,Wages - Regular,"£ 830,885.67","£ 807,352.23","£ 854,934.87","£ 760,647.49","£ 814,292.90","£ 794,766.24","£ 813,236.11","£ 763,827.46","£ 4,540,408.40","£ 797,728.31","£ 1,232,347.18","£ 826,452.06","£ 1,098,819.20","£ 810,913.86","£ 1,181,161.05","£ 5,533,915.07","£ 1,025,428.71","£ 755,377.16","£ 992,097.62","£ 817,714.39","£ 1,062,834.69","£ 880,084.90","£ 1,015,694.47","£ 832,131.36","£ 1,046,066.52","£ 830,885.67"
7005,Wages - Inter Company Staff Hire,"£ -8,835.36","£ 6,582.81","£ -7,977.02",£ 0.00,£ 0.00,"£ 6,118.73","£ 4,894.56",£ 0.00,£ 0.00,"£ 2,490.65",£ 0.00,"£ 1,403.29","£ 11,456.69","£ 3,055.21","£ 16,108.00","£ 93,698.94","£ 12,409.06",£ -596.07,"£ 7,092.94",£ -74.01,"£ 19,108.62",£ -217.36,"£ 17,953.34","£ -1,131.82","£ 5,972.43","£ -8,835.36"
7006,Wages - Employers N.I. (Non-Directors),"£ 57,121.03","£ 51,700.68","£ 60,518.12","£ 46,654.09","£ 56,902.73","£ 50,004.18","£ 56,184.12","£ 48,403.57","£ 54,649.14","£ 50,788.13","£ 74,924.16","£ 52,080.17","£ 74,656.87","£ 50,532.61","£ 80,608.63","£ 56,733.33","£ 68,762.19","£ 48,670.36","£ 62,945.41","£ 53,130.07","£ 118,745.35","£ 58,534.99","£ 104,130.49","£ 55,219.35","£ 110,514.56","£ 57,121.03"
7007,Wages - Employers Pensions,"£ 9,154.21","£ 9,814.19","£ 9,304.74","£ 9,309.84","£ 8,558.55","£ 9,630.53","£ 8,048.69","£ 9,025.80","£ 118,900.87","£ 9,242.94","£ 17,326.45","£ 69,621.35","£ 13,596.84","£ 9,231.24","£ 13,704.18","£ 10,296.73","£ 11,676.75","£ 58,873.76","£ 10,580.84","£ 9,905.96","£ 12,956.96","£ 9,832.26","£ 10,584.98","£ 8,574.64","£ 10,520.26","£ 9,154.21"
7009,Holiday Pay,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ -10.00,£ 0.00,£ 20.00,£ 0.00,£ 0.00,£ 0.00,£ 10.00,£ 0.00,£ 9.00,£ 0.00,£ 0.00,£ 0.00,£ -8.22,"£ 51,326.99",£ 0.00,"£ 53,988.95",£ 0.00
7010,Bonus Pay,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 14,612.47",£ 0.00,"£ 17,505.03",£ 0.00
7011,Statuary & Other payment,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 6,007.03",£ 0.00,"£ 3,210.94",£ 0.00
7013,Staff Training Cost,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 300.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 250.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 250.00,£ 0.00,£ 0.00,£ 0.00
7104,Property - Premises Insurance,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
7700,New Stores Project Cost,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 12,946.00",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
7700,Stores Mangement Cost,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 27,411.59",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
10000,Packaging,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
Total Cost of Sales,,"£ 1,729,942.81","£ 1,765,139.05","£ 1,805,626.32","£ 1,612,806.72","£ 1,695,722.28","£ 1,703,651.64","£ 1,664,956.89","£ 1,683,124.82","£ 8,978,077.80","£ 1,683,915.08","£ 2,491,744.04","£ 1,825,158.86","£ 2,535,389.85","£ 1,773,523.34","£ 2,721,549.44","£ 11,289,721.40","£ 2,326,144.64","£ 1,742,020.00","£ 2,269,774.73","£ 1,734,865.47","£ 2,627,123.97","£ 1,876,184.04","£ 2,373,463.89","£ 1,694,060.26","£ 2,448,825.82","£ 1,729,942.81"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
